# Rime user dictionary
#@/db_name	wubi86.userdb
#@/db_type	userdb
#@/rime_version	1.5.3
#@/tick	4558
#@/user_id	264d1fbf-0cd3-4191-8dba-a79a7265bcfc
jgai 	师范	c=2 d=1 t=3335
jgg 	旺	c=2 d=1.99501 t=466
jgj 	量	c=2 d=1.00001 t=5842
jgwg 	师傅	c=1 d=1 t=4726
jh 	早	c=31 d=1.11997 t=7148
jhfc 	早去	c=1 d=0.100388 t=3772
jhhh 	早上	c=1 d=1 t=3727
jhyg 	申请	c=1 d=1 t=2950
jiaf 	电源或者	c=2 d=1.98511 t=4536
jiji 	晃晃	c=1 d=1 t=4389
jiq 	晃	c=3 d=1.63356 t=1136
jj 	昌	c=1 d=1 t=3478
jjad 	日期	c=2 d=1 t=5655
jjjj 	日	c=9 d=1.62024 t=5911
jmgc 	遇到	c=1 d=1 t=5584
jmh 	帅	c=1 d=1 t=5011
jn 	电	c=11 d=1.60751 t=5771
jnbb 	电子	c=5 d=1.84789 t=5882
jney 	电脑	c=14 d=2.86689 t=4818
jnfc 	电动	c=1 d=1 t=5737
jnid 	电源	c=2 d=1.00083 t=5020
jnpy 	电视	c=2 d=1.06891 t=1993
jnqh 	电钻	c=1 d=1 t=4936
jnxj 	电费	c=1 d=1 t=4262
jnyt 	电话	c=1 d=1 t=4312
jofi 	显示	c=4 d=1.99501 t=4550
jp 	晕	c=1 d=1 t=4463
jplh 	晖	c=1 d=1 t=3519
jq 	晚	c=24 d=2.06381 t=5794
jqb 	昂	c=1 d=1 t=4447
jsd 	颗	c=2 d=1 t=4535
jsdm 	颗	c=1 d=1 t=5019
jt 	昨	c=17 d=3.06741 t=5417
jtjq 	昨晚	c=1 d=0.1 t=6513
jush 	暗想	c=1 d=1 t=5436
jv 	归	c=3 d=2.53795 t=5903
jvko 	照	c=1 d=1 t=2891
jvth 	照片	c=1 d=1 t=6119
jxje 	昆明	c=1 d=1 t=3493
jyi 	景	c=2 d=1.83946 t=2527
jykt 	影响	c=5 d=2.91432 t=1452
k 	中	c=7 d=1.11591 t=5201
ka 	呀	c=1 d=1 t=4592
kah 	呀	c=7 d=1.1016 t=5479
kaq 	哎	c=1 d=1 t=4803
kb 	啊	c=47 d=1.58623 t=5645
kc 	吧	c=69 d=2.67189 t=5958
kcg 	吗	c=70 d=4.96584 t=5808
kd 	顺	c=1 d=1 t=6597
kdgt 	喊	c=1 d=1 t=5903
kdm 	顺	c=1 d=1 t=237
kdyc 	顺序	c=1 d=1 t=3401
ke 	吸	c=3 d=1.04286 t=4988
kff 	哇	c=1 d=1 t=4984
kfg 	吐	c=1 d=1 t=6440
kgh 	吓	c=1 d=1 t=459
kgn 	号	c=9 d=1.0029 t=7238
kh 	中	c=1 d=1 t=12
khat 	中医	c=1 d=1 t=3284
khgm 	贵	c=2 d=1.33287 t=4628
khhi 	跑步	c=1 d=1 t=5151
khmh 	路由	c=2 d=1.82696 t=4612
khq 	跑	c=7 d=2.02529 t=5750
kht 	路	c=1 d=1 t=4801
khtf 	中午	c=4 d=1.17817 t=4826
khuf 	蹲	c=2 d=1 t=5307
khuj 	中意	c=1 d=1 t=4617
khuj 	中间	c=1 d=0.104318 t=5703
khv 	跟	c=40 d=1.32769 t=5845
kit 	吵	c=1 d=1 t=3744
